NAME,ADDRESS,TOWN,STATE,ZIP_CODE,COUNTY,PHONE_NUMBER,LOCATION,WEBSITE,TYPE,DISPENSARY LOCATION
RISE,196 3RD AVENUE #3-C,PATERSON,NJ,07514,PASSAIC,(973) 440-2717,https://g.page/RISE-Paterson-Dispensaries?share,https://risecannabis.com/dispensaries/new-jersey/paterson/,Medicinal and Recreational,POINT (-74.141912 40.936401)
RISE,26-48 BLOOMFIELD AVE,BLOOMFIELD,NJ,07003,ESSEX,(973) 327-3442,https://goo.gl/maps/8Vr6UkY9nbJDZ99F7,https://risecannabis.com/dispensaries/new-jersey/bloomfield/,Medicinal and Recreational,POINT (-74.186788 40.77544)
"Botanist, The",100 CENTURY DRIVE,EGG HARBOR TOWNSHIP,NJ,08234,ATLANTIC,(609) 277-7547,https://goo.gl/maps/Cf2mto9t8JE7wmoD8,https://www.shopbotanist.com/locations/egg-harbor-township/,Medicinal and Recreational,POINT (-74.554995 39.41918)
Holistic Solutions LLC,451 WHITE HORSE PIKE,ATCO,NJ,08004,CAMDEN,(856) 270-7067,https://goo.gl/maps/wUZtj7yZzn3jG5Dd9,,Medicinal cannabis only,POINT (-74.89106 39.76417)
Zen Leaf,117 SPRING STREET,ELIZABETH,NJ,07201,UNION,(908) 676-5936,https://goo.gl/maps/nobBVydnqkgFHoyq5,https://zenleafdispensaries.com/locations/elizabeth/,Medicinal and Recreational,POINT (-74.206087 40.6636)
"Aunt Mary's Dispensary, LLC",100 REAVILLE AVE. SUITE 211,FLEMINGTON,NJ,08822,HUNTERDON,(908) 257-0421,https://goo.gl/maps/iUZk9uzrfXCv1fcdA,http://www.auntmarysnj.co/,Medicinal cannabis only,POINT (-74.8509 40.498)
Sweet Spot,"903 WHITE HORSE ROAD, SUITE 2",VOORHEES,NJ,08043,CAMDEN,(856) 882-3481,https://goo.gl/maps/u8AZ9WKq4toSD28P7,https://sweetspotfarms.com/store/nj001,Medicinal cannabis only,POINT (-74.98935 39.84754)
"Cannabist, The",1062 NORTH DELSEA DRIVE,VINELAND,NJ,08360,CUMBERLAND,(856) 213-9445,https://g.page/columbiacarevineland?share,https://col-care.com/location/vineland/,Medicinal and Recreational,POINT (-75.041869 39.502548)
Curaleaf,640 CREEK ROAD,BELLMAWR,NJ,08031,CAMDEN,(856) 933-8700,https://goo.gl/maps/ryTQ1JVHqu9RktKf7,https://curaleaf.com/shop/new-jersey/curaleaf-nj-bellmawr?,Medicinal and Recreational,POINT (-75.103077 39.865436)
MPX NJ,157-159 S. NEW YORK AVENUE,ATLANTIC CITY,NJ,08401,ATLANTIC,(609) 616-7770,https://goo.gl/maps/stid54TD8dUwePpG9,Medical Cannabis Dispensary - Located in Atlantic City (http://mpxnj.com),Medicinal cannabis only,POINT (-74.427559 39.358975)
Harmony Dispensary,"600 MEADOWLANDS PARKWAY, SUITE 15",SECAUCUS,NJ,07094,HUDSON,(201) 356-7268,https://g.page/harmonydispensary?share,https://www.harmonydispensary.org/,Medicinal and Recreational,POINT (-74.086556 40.77525)
Apothecarium Dispensary,55 SOUTH MAIN ST.,PHILLIPSBURG,NJ,08865,WARREN,(908) 777-7420,https://goo.gl/maps/rAD9hdJjE61SAoGe9,https://apothecariumnj.com/phillipsburg/,Medicinal and Recreational,POINT (-75.201923 40.690754)
Curaleaf,191 RTE 130,BORDENTOWN,NJ,08505,BURLINGTON,(609) 400-2455,https://goo.gl/maps/Vo4phr2er7X76kHq6,https://curaleaf.com/shop/new-jersey/curaleaf-nj-bordentown?,Medicinal and Recreational,POINT (-74.700642 40.148734)
Garden State Dispensary (Ayr Wellness),950 US HIGHWAY 1 NORTH,WOODBRIDGE,NJ,07095,MIDDLESEX,(848) 999-2005,https://goo.gl/maps/LYc8TzUhRKE1nKaN7,https://gardenstatedispensary.com/locations/woodbridge/,Medicinal and Recreational,POINT (-74.295474 40.56847)
Breakwater Treatment & Wellness,"2 CORPORATE DRIVE, SUITE E",CRANBURY,NJ,08512,MIDDLESEX,(732) 703-7300,https://g.page/BreakwaterATC?share,https://www.breakwateratc.com/,Medicinal cannabis only,POINT (-74.486746 40.334285)
Ascend,174 ROUTE 17 NORTH,ROCHELLE PARK,NJ,07662,BERGEN,(973) 500-6825,https://goo.gl/maps/E3EpiSdCLjcPwNmj8,NJ-Rochelle-Park-Menu - Ascend Cannabis Dispensaries (http://letsascend.com),Medicinal and Recreational,POINT (-74.071966 40.903839)
Ascend,461-469 WEST STATE STREET,FORT LEE,NJ,07024,BERGEN,(973) 200-7696,https://goo.gl/maps/7BPhstdT4qMtMJA56,Fort Lee Marijuana Dispensary - Ascend Cannabis (http://letsascend.com),Medicinal and Recreational,POINT (-73.972432 40.859574)
BLOC (formerly JG New Jersey),1075 EASTON AVE,SOMERSET,NJ,08873,SOMERSET,(973) 494-8499,https://goo.gl/maps/dAoK2twwZemJxHnf8,https://www.blocdispensary.com/,Medicinal and Recreational,POINT (-74.48836 40.51664)
"Botanist, The",1301 BOARDWALK,ATLANTIC CITY,NJ,08401,ATLANTIC,(609) 454-6846,https://goo.gl/maps/3YPEp2BuAfcgWeTAA,https://www.shopbotanist.com/locations/atlantic-city/,Medicinal cannabis only,POINT (-74.42365 39.357377)
BLOC (formerly Justice Grown),1761 NORTH OLDEN AVENUE,EWING,NJ,08638,MERCER,(973) 494-8499,https://goo.gl/maps/4JfUGpYfZfJ26aRB8,https://www.blocdispensary.com/,Medicinal and Recreational,POINT (-74.770549 40.248342)
Valley Wellness LLC,407 US-202,RARITAN,NJ,08869,SOMERSET,(908) 429-6680,https://goo.gl/maps/kqB9xm7WnAvxb4rj8,https://valleywellnessnj.com/,Medicinal cannabis only,POINT (-74.63534 40.5741)
RISE,"145 RT. 4 WEST, UNIT #2",PARAMUS,NJ,07514,BERGEN,(973) 996-4570,https://g.page/paramus-NJ-dispensary-RISE?share,RISE Dispensaries Paramus Medical Marijuana Dispensary (http://risecannabis.com),Medicinal cannabis only,POINT (-74.08424 40.92415)
Ascend,395 BLOOMFIELD AVE,MONTCLAIR,NJ,07042,ESSEX,(973) 337-5670,https://goo.gl/maps/db5xkfK5MgiXQJyD6,NJ-Montclair-Menu - Ascend Cannabis Dispensaries (http://letsascend.com),Medicinal and Recreational,POINT (-74.216017 40.812663)
Apothecarium Dispensary,1865 SPRINGFIELD AVENUE,MAPLEWOOD,NJ,07040,ESSEX,(973) 996-1420,https://goo.gl/maps/AfvmhvLBwsDwatoKA,https://apothecariumnj.com/maplewood/,Medicinal and Recreational,POINT (-74.269284 40.720772)
Curaleaf,4237 US-130 South,EDGEWATER PARK,NJ,08010,BURLINGTON,(609) 232-7681,https://goo.gl/maps/fY2rMrDiDt29SeN5A,https://curaleaf.com/shop/new-jersey/curaleaf-nj-edgewater-park?,Medicinal and Recreational,POINT (-74.912595 40.040754)
Apothecarium Dispensary,200 NJ-17,LODI,NJ,07644,BERGEN,(862) 910-2420,https://goo.gl/maps/PAc2PVtveisQbTGn8,https://apothecariumnj.com/lodi/,Medicinal and Recreational,POINT (-74.066849 40.882884)
Zen Leaf,2100 ROUTE 66,NEPTUNE,NJ,07753,MONMOUTH,(732) 860-1492,https://goo.gl/maps/3Tqvk4QdiakTDRhH9,https://zenleafdispensaries.com/locations/neptune/,Medicinal and Recreational,POINT (-74.040076 40.226356)
Garden State Dispensary (Ayr Wellness),59 NJ-35,EATONTOWN,NJ,07724,MONMOUTH,(848) 999-2005,https://goo.gl/maps/qY1KQk5zMiD2Fqav8,https://gardenstatedispensary.com/locations/eatontown/,Medicinal and Recreational,POINT (-74.060734 40.305806)
"Botanist, The",2090 N BLACKHORSE PIKE,WILLIAMSTOWN,NJ,08094,CAMDEN,(856) 478-3530,https://goo.gl/maps/PW4pBEHwooxN5ivE8,https://www.shopbotanist.com/locations/williamstown/,Medicinal and Recreational,POINT (-75.022425 39.71909)
Zen Leaf,3256 BRUNSWICK PIKE,LAWRENCE TWP.,NJ,08648,MERCER,(609) 212-4351,https://goo.gl/maps/GC7chA4JbEfWnzkYA,https://zenleafdispensaries.com/locations/lawrence/,Medicinal and Recreational,POINT (-74.687318 40.290606)
"Cannabist, The",1692 CLEMENTS BRIDGE RD,DEPTFORD,NJ,08096,GLOUCESTER,(856) 322-2829,https://goo.gl/maps/opQs3B3hXxAUmd6h6,https://gocannabist.com/location/deptford/,Medicinal and Recreational,POINT (-75.101788 39.832875)
NJ Leaf,546 PARK AVENUE,FREEHOLD,NJ,07728,MONMOUTH,(732) 204-7172,https://goo.gl/maps/wK8uvpLDt2x6uWW9A,https://njleaf.com/,Medicinal cannabis only,POINT (-74.27265 40.25003)
Garden State Dispensary (Ayr Wellness),2536 RT 22,UNION,NJ,07083,UNION,(848) 999-2005,https://goo.gl/maps/Yy4fqkkbtqaQoE637,https://gardenstatedispensary.com/locations/union/,Medicinal and Recreational,POINT (-74.301325 40.689168)
Design 710,112 PARK PLACE,ATLANTIC CITY,NJ,08401,ATLANTIC,(609) 964-7420,https://goo.gl/maps/CcZbg6jayHK8EpFM8,https://design710.com/,Medicinal cannabis only,POINT (-74.4326 39.35815)
Breakwater Treatment & Wellness,154 WEST WESTFIELD AVE,ROSELLE PARK,NJ,07204,UNION,(732)703-7300,https://goo.gl/maps/5YGUrNvRPJJEfXDWA,http://www.breakwateratc.com/,Medicinal cannabis only,POINT (-74.269464 40.660878)
"Restore NJ, LLC",300 WILLIAM DALTON DRIVE,GLASSBORO,NJ,08028,GLOUCESTER,(856) 652-8001,https://goo.gl/maps/oHds4sZnAb3ZMV1s5,https://restoredispensaries.com/locations/glassboro/,Medicinal cannabis only,POINT (-75.108443 39.719777)
URBâ€™N Dispensary,378 SOUTH ST,NEWARK,NJ,07105,ESSEX,(973) 200-0618,https://goo.gl/maps/qbkQBkvdVdu3MDN17,https://urbndispensary.com/home,Medicinal cannabis only,POINT (-74.1616 40.71867)
